Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
Myanmar,2021,MMR,65.553
Namibia,2021,NAM,60.850
Nauru,2021,NRU,61.331
Nepal,2021,NPL,68.385
Netherlands,2021,NLD,81.310
New Caledonia,2021,NCL,77.113
New Zealand,2021,NZL,82.207
Nicaragua,2021,NIC,70.478
Niger,2021,NER,59.542
Nigeria,2021,NGA,53.455
North Macedonia,2021,MKD,73.246
Northern Mariana Islands,2021,MNP,78.160
Norway,2021,NOR,83.163
Oman,2021,OMN,75.969
Pakistan,2021,PAK,65.773
Palau,2021,PLW,68.563
Panama,2021,PAN,77.004
Papua New Guinea,2021,PNG,64.358
Paraguay,2021,PRY,68.108
Peru,2021,PER,71.596
Philippines,2021,PHL,66.675
Poland,2021,POL,75.351
Portugal,2021,PRT,81.378
Puerto Rico,2021,PRI,79.770
Qatar,2021,QAT,81.083
Romania,2021,ROU,72.810
Russian Federation,2021,RUS,69.900
Rwanda,2021,RWA,66.850
Samoa,2021,WSM,71.096
San Marino,2021,SMR,83.539
Sao Tome and Principe,2021,STP,68.026
Saudi Arabia,2021,SAU,77.089
Senegal,2021,SEN,66.868
Serbia,2021,SRB,72.780
Seychelles,2021,SYC,73.398
Sierra Leone,2021,SLE,60.260
Singapore,2021,SGP,83.093
Sint Maarten (Dutch part),2021,SXM,74.505
Slovak Republic,2021,SVK,74.615
Slovenia,2021,SVN,80.676
Solomon Islands,2021,SLB,68.890
Somalia,2021,SOM,55.703
South Africa,2021,ZAF,62.010
South Sudan,2021,SSD,57.047
Spain,2021,ESP,83.178
Sri Lanka,2021,LKA,76.278
St. Kitts and Nevis,2021,KNA,69.271
St. Lucia,2021,LCA,69.119
St. Martin (French part),2021,MAF,80.206
St. Vincent and the Grenadines,2021,VCT,69.132
Sudan,2021,SDN,64.460
Suriname,2021,SUR,68.943
Sweden,2021,SWE,83.056
Switzerland,2021,CHE,83.751
Syrian Arab Republic,2021,SYR,72.418
Tajikistan,2021,TJK,69.594
Tanzania,2021,TZA,66.131
Thailand,2021,THA,77.606
Timor-Leste,2021,TLS,66.199
Togo,2021,TGO,61.328
Tonga,2021,TON,72.130
Trinidad and Tobago,2021,TTO,71.111
Tunisia,2021,TUN,72.893
Turkiye,2021,TUR,75.722
Turkmenistan,2021,TKM,69.353
Turks and Caicos Islands,2021,TCA,77.234
Tuvalu,2021,TUV,65.824
Uganda,2021,UGA,66.450
Ukraine,2021,UKR,71.631
United Arab Emirates,2021,ARE,79.083
United Kingdom,2021,GBR,80.647
United States,2021,USA,76.329
Uruguay,2021,URY,75.434
Uzbekistan,2021,UZB,71.681
Vanuatu,2021,VUT,69.952
"Venezuela, RB",2021,VEN,71.536
Vietnam,2021,VNM,74.145
Virgin Islands (U.S.),2021,VIR,80.068
West Bank and Gaza,2021,PSE,73.890
"Yemen, Rep.",2021,YEM,66.019
Zambia,2021,ZMB,62.363
Zimbabwe,2021,ZWE,60.135
