Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
Georgia,2023,GEO,79.107
Germany,2023,DEU,83.000
Ghana,2023,GHA,67.943
Gibraltar,2023,GIB,86.143
Greece,2023,GRC,84.200
Greenland,2023,GRL,73.450
Grenada,2023,GRD,78.359
Guam,2023,GUM,81.419
Guatemala,2023,GTM,74.877
Guinea,2023,GIN,61.897
Guinea-Bissau,2023,GNB,66.362
Guyana,2023,GUY,73.944
Haiti,2023,HTI,68.300
Honduras,2023,HND,75.501
"Hong Kong SAR, China",2023,HKG,88.090
Hungary,2023,HUN,80.100
Iceland,2023,ISL,84.400
India,2023,IND,73.598
Indonesia,2023,IDN,73.268
"Iran, Islamic Rep.",2023,IRN,79.628
Iraq,2023,IRQ,74.055
Ireland,2023,IRL,84.500
Isle of Man,2023,IMN,83.134
Israel,2023,ISR,85.500
Italy,2023,ITA,85.800
Jamaica,2023,JAM,73.994
Japan,2023,JPN,87.140
Jordan,2023,JOR,80.192
Kazakhstan,2023,KAZ,78.394
Kenya,2023,KEN,65.920
Kiribati,2023,KIR,68.170
"Korea, Dem. People's Rep.",2023,PRK,75.744
"Korea, Rep.",2023,KOR,86.400
Kosovo,2023,XKX,80.118
Kuwait,2023,KWT,83.700
Kyrgyz Republic,2023,KGZ,76.500
Lao PDR,2023,LAO,71.250
Latvia,2023,LVA,80.800
Lebanon,2023,LBN,79.734
Lesotho,2023,LSO,60.007
Liberia,2023,LBR,63.444
Libya,2023,LBY,70.416
Liechtenstein,2023,LIE,87.300
Lithuania,2023,LTU,81.700
Luxembourg,2023,LUX,85.100
"Macao SAR, China",2023,MAC,86.100
Madagascar,2023,MDG,65.377
Malawi,2023,MWI,70.562
Malaysia,2023,MYS,79.370
Maldives,2023,MDV,82.819
Mali,2023,MLI,61.900
Malta,2023,MLT,85.300
Marshall Islands,2023,MHL,69.334
Mauritania,2023,MRT,70.484
Mauritius,2023,MUS,76.890
Mexico,2023,MEX,77.811
"Micronesia, Fed. Sts.",2023,FSM,71.119
Moldova,2023,MDA,75.535
Monaco,2023,MCO,88.504
Mongolia,2023,MNG,76.850
Montenegro,2023,MNE,80.200
Morocco,2023,MAR,77.600
Mozambique,2023,MOZ,66.544
Myanmar,2023,MMR,70.164
Namibia,2023,NAM,71.337
Nauru,2023,NRU,64.003
Nepal,2023,NPL,71.837
Netherlands,2023,NLD,83.400
New Caledonia,2023,NCL,81.286
New Zealand,2023,NZL,84.900
Nicaragua,2023,NIC,77.418
Niger,2023,NER,62.129
Nigeria,2023,NGA,54.743
North Macedonia,2023,MKD,77.580
Northern Mariana Islands,2023,MNP,80.740
Norway,2023,NOR,84.700
Oman,2023,OMN,81.882
Pakistan,2023,PAK,70.163
Palau,2023,PLW,71.798
Panama,2023,PAN,82.557
Papua New Guinea,2023,PNG,69.085
Paraguay,2023,PRY,76.953
Peru,2023,PER,80.123
Philippines,2023,PHL,72.819
Poland,2023,POL,82.400
Portugal,2023,PRT,85.200
Puerto Rico,2023,PRI,85.243
Qatar,2023,QAT,83.368
Romania,2023,ROU,80.500
Russian Federation,2023,RUS,78.730
Rwanda,2023,RWA,69.886
Samoa,2023,WSM,73.662
San Marino,2023,SMR,87.100
Sao Tome and Principe,2023,STP,73.728
Saudi Arabia,2023,SAU,81.156
Senegal,2023,SEN,70.754
Serbia,2023,SRB,78.700
Seychelles,2023,SYC,78.800
Sierra Leone,2023,SLE,63.502
Singapore,2023,SGP,85.200
Sint Maarten (Dutch part),2023,SXM,79.531
Slovak Republic,2023,SVK,81.500
Slovenia,2023,SVN,85.000
Solomon Islands,2023,SLB,71.982
Somalia,2023,SOM,61.388
South Africa,2023,ZAF,69.599
South Sudan,2023,SSD,60.627
Spain,2023,ESP,86.700
Sri Lanka,2023,LKA,80.593
St. Kitts and Nevis,2023,KNA,76.023
St. Lucia,2023,LCA,76.304
St. Martin (French part),2023,MAF,83.839
St. Vincent and the Grenadines,2023,VCT,74.315
Sudan,2023,SDN,69.626
Suriname,2023,SUR,76.835
Sweden,2023,SWE,85.000
Switzerland,2023,CHE,85.900
Syrian Arab Republic,2023,SYR,74.412
Tajikistan,2023,TJK,73.976
Tanzania,2023,TZA,69.775
Thailand,2023,THA,80.861
Timor-Leste,2023,TLS,69.436
Togo,2023,TGO,62.923
Tonga,2023,TON,76.405
Trinidad and Tobago,2023,TTO,76.683
Tunisia,2023,TUN,79.149
Turkiye,2023,TUR,79.855
Turkmenistan,2023,TKM,72.839
Turks and Caicos Islands,2023,TCA,80.297
Tuvalu,2023,TUV,70.698
Uganda,2023,UGA,71.116
Ukraine,2023,UKR,80.198
United Arab Emirates,2023,ARE,84.204
United Kingdom,2023,GBR,83.208
United States,2023,USA,81.100
Uruguay,2023,URY,81.920
Uzbekistan,2023,UZB,75.401
Vanuatu,2023,VUT,73.927
"Venezuela, RB",2023,VEN,76.501
Vietnam,2023,VNM,79.264
Virgin Islands (U.S.),2023,VIR,83.900
West Bank and Gaza,2023,PSE,71.502
"Yemen, Rep.",2023,YEM,71.388
Zambia,2023,ZMB,68.673
Zimbabwe,2023,ZWE,65.013
