Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
Ecuador,2018,ECU,77.248
"Egypt, Arab Rep.",2018,EGY,70.974
El Salvador,2018,SLV,71.384
Equatorial Guinea,2018,GNQ,61.915
Eritrea,2018,ERI,66.979
Estonia,2018,EST,78.244
Eswatini,2018,SWZ,58.707
Ethiopia,2018,ETH,65.257
Faroe Islands,2018,FRO,82.293
Fiji,2018,FJI,66.965
Finland,2018,FIN,81.734
France,2018,FRA,82.676
French Polynesia,2018,PYF,82.985
Gabon,2018,GAB,67.043
"Gambia, The",2018,GMB,64.034
Georgia,2018,GEO,73.985
Germany,2018,DEU,80.893
Ghana,2018,GHA,64.138
Gibraltar,2018,GIB,83.028
Greece,2018,GRC,81.788
Greenland,2018,GRL,71.968
Grenada,2018,GRD,74.957
Guam,2018,GUM,76.561
Guatemala,2018,GTM,71.496
Guinea,2018,GIN,59.043
Guinea-Bissau,2018,GNB,61.652
Guyana,2018,GUY,68.829
Haiti,2018,HTI,64.077
Honduras,2018,HND,72.001
"Hong Kong SAR, China",2018,HKG,84.870
Hungary,2018,HUN,76.066
Iceland,2018,ISL,82.861
India,2018,IND,70.415
Indonesia,2018,IDN,70.080
"Iran, Islamic Rep.",2018,IRN,76.621
Iraq,2018,IRQ,71.116
Ireland,2018,IRL,82.205
Isle of Man,2018,IMN,80.614
Israel,2018,ISR,82.802
Italy,2018,ITA,83.346
Jamaica,2018,JAM,71.606
Japan,2018,JPN,84.211
Jordan,2018,JOR,76.491
Kazakhstan,2018,KAZ,73.369
Kenya,2018,KEN,62.825
Kiribati,2018,KIR,65.807
"Korea, Dem. People's Rep.",2018,PRK,73.020
"Korea, Rep.",2018,KOR,82.627
Kosovo,2018,XKX,77.117
Kuwait,2018,KWT,80.106
Kyrgyz Republic,2018,KGZ,71.400
Lao PDR,2018,LAO,67.594
Latvia,2018,LVA,74.783
Lebanon,2018,LBN,78.263
Lesotho,2018,LSO,54.638
Liberia,2018,LBR,60.999
Libya,2018,LBY,73.151
Liechtenstein,2018,LIE,83.041
Lithuania,2018,LTU,75.680
Luxembourg,2018,LUX,82.295
"Macao SAR, China",2018,MAC,83.678
Madagascar,2018,MDG,63.491
Malawi,2018,MWI,64.464
Malaysia,2018,MYS,75.734
Maldives,2018,MDV,79.433
Mali,2018,MLI,58.873
Malta,2018,MLT,82.249
Marshall Islands,2018,MHL,65.870
Mauritania,2018,MRT,67.419
Mauritius,2018,MUS,74.416
Mexico,2018,MEX,74.301
"Micronesia, Fed. Sts.",2018,FSM,65.943
Moldova,2018,MDA,70.236
Monaco,2018,MCO,86.084
Mongolia,2018,MNG,70.827
Montenegro,2018,MNE,77.885
Morocco,2018,MAR,73.946
Mozambique,2018,MOZ,60.790
Myanmar,2018,MMR,66.232
Namibia,2018,NAM,62.579
Nauru,2018,NRU,61.238
Nepal,2018,NPL,69.036
Netherlands,2018,NLD,81.812
New Caledonia,2018,NCL,77.557
New Zealand,2018,NZL,81.707
Nicaragua,2018,NIC,73.879
Niger,2018,NER,59.765
Nigeria,2018,NGA,52.669
North Macedonia,2018,MKD,76.649
Northern Mariana Islands,2018,MNP,77.510
Norway,2018,NOR,82.759
Oman,2018,OMN,79.864
Pakistan,2018,PAK,66.481
Palau,2018,PLW,68.989
Panama,2018,PAN,78.266
Papua New Guinea,2018,PNG,65.114
Paraguay,2018,PRY,73.627
Peru,2018,PER,76.018
Philippines,2018,PHL,69.761
Poland,2018,POL,77.602
Portugal,2018,PRT,81.324
Puerto Rico,2018,PRI,81.086
Qatar,2018,QAT,82.714
Romania,2018,ROU,75.359
Russian Federation,2018,RUS,72.662
Rwanda,2018,RWA,66.354
Samoa,2018,WSM,71.052
San Marino,2018,SMR,85.095
Sao Tome and Principe,2018,STP,67.602
Saudi Arabia,2018,SAU,78.750
Senegal,2018,SEN,67.379
Serbia,2018,SRB,75.890
Seychelles,2018,SYC,72.841
Sierra Leone,2018,SLE,59.059
Singapore,2018,SGP,83.298
Sint Maarten (Dutch part),2018,SXM,75.693
Slovak Republic,2018,SVK,77.266
Slovenia,2018,SVN,81.378
Solomon Islands,2018,SLB,69.806
Somalia,2018,SOM,54.767
South Africa,2018,ZAF,65.726
South Sudan,2018,SSD,51.905
Spain,2018,ESP,83.432
Sri Lanka,2018,LKA,76.485
St. Kitts and Nevis,2018,KNA,71.336
St. Lucia,2018,LCA,72.655
St. Martin (French part),2018,MAF,80.029
St. Vincent and the Grenadines,2018,VCT,71.017
Sudan,2018,SDN,65.501
Suriname,2018,SUR,71.468
Sweden,2018,SWE,82.559
Switzerland,2018,CHE,83.754
Syrian Arab Republic,2018,SYR,67.371
Tajikistan,2018,TJK,70.737
Tanzania,2018,TZA,65.488
Thailand,2018,THA,77.190
Timor-Leste,2018,TLS,66.204
Togo,2018,TGO,60.601
Tonga,2018,TON,72.169
Trinidad and Tobago,2018,TTO,72.658
Tunisia,2018,TUN,75.370
Turkiye,2018,TUR,77.454
Turkmenistan,2018,TKM,69.272
Turks and Caicos Islands,2018,TCA,77.596
Tuvalu,2018,TUV,65.871
Uganda,2018,UGA,65.775
Ukraine,2018,UKR,73.569
United Arab Emirates,2018,ARE,82.449
United Kingdom,2018,GBR,81.256
United States,2018,USA,78.639
Uruguay,2018,URY,77.527
Uzbekistan,2018,UZB,71.999
Vanuatu,2018,VUT,70.626
"Venezuela, RB",2018,VEN,72.641
Vietnam,2018,VNM,74.100
Virgin Islands (U.S.),2018,VIR,79.520
West Bank and Gaza,2018,PSE,75.380
"Yemen, Rep.",2018,YEM,65.915
Zambia,2018,ZMB,62.138
Zimbabwe,2018,ZWE,60.906
