Economy,Year,Economy Code,Proportion of seats held by women in national parliaments (%)
Lithuania,2019,LTU,21.277
Luxembourg,2019,LUX,25.000
"Macao SAR, China",2019,MAC,
Madagascar,2019,MDG,15.894
Malawi,2019,MWI,22.917
Malaysia,2019,MYS,14.414
Maldives,2019,MDV,4.598
Mali,2019,MLI,9.524
Malta,2019,MLT,14.925
Marshall Islands,2019,MHL,6.061
Mauritania,2019,MRT,20.261
Mauritius,2019,MUS,20.000
Mexico,2019,MEX,48.200
"Micronesia, Fed. Sts.",2019,FSM,0.000
Moldova,2019,MDA,25.743
Monaco,2019,MCO,33.333
Mongolia,2019,MNG,17.333
Montenegro,2019,MNE,28.395
Morocco,2019,MAR,20.506
Mozambique,2019,MOZ,41.200
Myanmar,2019,MMR,11.316
Namibia,2019,NAM,42.708
Nauru,2019,NRU,10.526
Nepal,2019,NPL,32.727
Netherlands,2019,NLD,31.333
New Caledonia,2019,NCL,
New Zealand,2019,NZL,40.833
Nicaragua,2019,NIC,44.565
Niger,2019,NER,16.959
Nigeria,2019,NGA,3.380
North Macedonia,2019,MKD,39.167
Northern Mariana Islands,2019,MNP,
Norway,2019,NOR,40.828
Oman,2019,OMN,2.326
Pakistan,2019,PAK,20.235
Palau,2019,PLW,12.500
Panama,2019,PAN,21.127
Papua New Guinea,2019,PNG,0.000
Paraguay,2019,PRY,15.000
Peru,2019,PER,30.000
Philippines,2019,PHL,27.961
Poland,2019,POL,28.696
Portugal,2019,PRT,38.696
Puerto Rico,2019,PRI,
Qatar,2019,QAT,9.756
Romania,2019,ROU,21.884
Russian Federation,2019,RUS,15.778
Rwanda,2019,RWA,61.250
Samoa,2019,WSM,10.000
San Marino,2019,SMR,25.000
Sao Tome and Principe,2019,STP,14.545
Saudi Arabia,2019,SAU,19.868
Senegal,2019,SEN,41.818
Serbia,2019,SRB,37.652
Seychelles,2019,SYC,21.212
Sierra Leone,2019,SLE,12.329
Singapore,2019,SGP,23.000
Sint Maarten (Dutch part),2019,SXM,
Slovak Republic,2019,SVK,20.000
Slovenia,2019,SVN,27.778
Solomon Islands,2019,SLB,4.082
Somalia,2019,SOM,24.364
South Africa,2019,ZAF,46.348
South Sudan,2019,SSD,28.460
Spain,2019,ESP,44.000
Sri Lanka,2019,LKA,5.333
St. Kitts and Nevis,2019,KNA,13.333
St. Lucia,2019,LCA,16.667
St. Martin (French part),2019,MAF,
St. Vincent and the Grenadines,2019,VCT,13.043
Sudan,2019,SDN,
Suriname,2019,SUR,31.373
Sweden,2019,SWE,47.278
Switzerland,2019,CHE,41.500
Syrian Arab Republic,2019,SYR,13.200
Tajikistan,2019,TJK,19.048
Tanzania,2019,TZA,36.896
Thailand,2019,THA,16.200
Timor-Leste,2019,TLS,38.462
Togo,2019,TGO,16.484
Tonga,2019,TON,7.407
Trinidad and Tobago,2019,TTO,30.952
Tunisia,2019,TUN,22.581
Turkiye,2019,TUR,17.450
Turkmenistan,2019,TKM,25.000
Turks and Caicos Islands,2019,TCA,
Tuvalu,2019,TUV,6.250
Uganda,2019,UGA,34.858
Ukraine,2019,UKR,20.519
United Arab Emirates,2019,ARE,50.000
United Kingdom,2019,GBR,32.000
United States,2019,USA,23.434
Uruguay,2019,URY,19.192
Uzbekistan,2019,UZB,16.000
Vanuatu,2019,VUT,0.000
"Venezuela, RB",2019,VEN,22.156
Vietnam,2019,VNM,26.721
Virgin Islands (U.S.),2019,VIR,
West Bank and Gaza,2019,PSE,
"Yemen, Rep.",2019,YEM,0.332
Zambia,2019,ZMB,17.964
Zimbabwe,2019,ZWE,31.852
