Economy,Year,Economy Code,"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
St. Vincent and the Grenadines,2019,VCT,58.000
Sudan,2019,SDN,262.000
Suriname,2019,SUR,97.000
Sweden,2019,SWE,4.000
Switzerland,2019,CHE,6.000
Syrian Arab Republic,2019,SYR,24.000
Tajikistan,2019,TJK,16.000
Tanzania,2019,TZA,292.000
Thailand,2019,THA,34.000
Timor-Leste,2019,TLS,237.000
Togo,2019,TGO,416.000
Tonga,2019,TON,73.000
Trinidad and Tobago,2019,TTO,53.000
Tunisia,2019,TUN,37.000
Turkiye,2019,TUR,17.000
Turkmenistan,2019,TKM,5.000
Turks and Caicos Islands,2019,TCA,
Tuvalu,2019,TUV,155.000
Uganda,2019,UGA,219.000
Ukraine,2019,UKR,16.000
United Arab Emirates,2019,ARE,3.000
United Kingdom,2019,GBR,9.000
United States,2019,USA,18.000
Uruguay,2019,URY,16.000
Uzbekistan,2019,UZB,29.000
Vanuatu,2019,VUT,105.000
"Venezuela, RB",2019,VEN,202.000
Vietnam,2019,VNM,52.000
Virgin Islands (U.S.),2019,VIR,
West Bank and Gaza,2019,PSE,18.000
"Yemen, Rep.",2019,YEM,131.000
Zambia,2019,ZMB,103.000
Zimbabwe,2019,ZWE,388.000
