Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
Sierra Leone,2023,SLE,61.786
Singapore,2023,SGP,82.895
Sint Maarten (Dutch part),2023,SXM,76.371
Slovak Republic,2023,SVK,78.017
Slovenia,2023,SVN,81.978
Solomon Islands,2023,SLB,70.528
Somalia,2023,SOM,58.816
South Africa,2023,ZAF,66.139
South Sudan,2023,SSD,57.617
Spain,2023,ESP,83.883
Sri Lanka,2023,LKA,77.483
St. Kitts and Nevis,2023,KNA,72.145
St. Lucia,2023,LCA,72.697
St. Martin (French part),2023,MAF,80.224
St. Vincent and the Grenadines,2023,VCT,71.230
Sudan,2023,SDN,66.331
Suriname,2023,SUR,73.631
Sweden,2023,SWE,83.310
Switzerland,2023,CHE,84.056
Syrian Arab Republic,2023,SYR,72.120
Tajikistan,2023,TJK,71.790
Tanzania,2023,TZA,66.995
Thailand,2023,THA,76.412
Timor-Leste,2023,TLS,67.689
Togo,2023,TGO,62.739
Tonga,2023,TON,72.895
Trinidad and Tobago,2023,TTO,73.490
Tunisia,2023,TUN,76.508
Turkiye,2023,TUR,77.156
Turkmenistan,2023,TKM,70.073
Turks and Caicos Islands,2023,TCA,78.008
Tuvalu,2023,TUV,67.105
Uganda,2023,UGA,68.252
Ukraine,2023,UKR,73.422
United Arab Emirates,2023,ARE,82.909
United Kingdom,2023,GBR,81.238
United States,2023,USA,78.385
Uruguay,2023,URY,78.138
Uzbekistan,2023,UZB,72.388
Vanuatu,2023,VUT,71.477
"Venezuela, RB",2023,VEN,72.514
Vietnam,2023,VNM,74.588
Virgin Islands (U.S.),2023,VIR,80.520
West Bank and Gaza,2023,PSE,65.170
"Yemen, Rep.",2023,YEM,69.295
Zambia,2023,ZMB,66.349
Zimbabwe,2023,ZWE,62.775
