Economy,Year,Economy Code,Proportion of seats held by women in national parliaments (%)
Nicaragua,2024,NIC,53.846
Niger,2024,NER,
Nigeria,2024,NGA,3.911
North Macedonia,2024,MKD,39.167
Northern Mariana Islands,2024,MNP,
Norway,2024,NOR,44.379
Oman,2024,OMN,0.000
Pakistan,2024,PAK,17.042
Palau,2024,PLW,25.000
Panama,2024,PAN,21.429
Papua New Guinea,2024,PNG,2.703
Paraguay,2024,PRY,23.750
Peru,2024,PER,38.462
Philippines,2024,PHL,27.331
Poland,2024,POL,29.565
Portugal,2024,PRT,32.609
Puerto Rico,2024,PRI,
Qatar,2024,QAT,4.444
Romania,2024,ROU,19.207
Russian Federation,2024,RUS,16.444
Rwanda,2024,RWA,63.750
Samoa,2024,WSM,12.963
San Marino,2024,SMR,35.000
Sao Tome and Principe,2024,STP,14.545
Saudi Arabia,2024,SAU,19.868
Senegal,2024,SEN,41.212
Serbia,2024,SRB,38.000
Seychelles,2024,SYC,20.588
Sierra Leone,2024,SLE,29.530
Singapore,2024,SGP,29.293
Sint Maarten (Dutch part),2024,SXM,
Slovak Republic,2024,SVK,22.667
Slovenia,2024,SVN,37.778
Solomon Islands,2024,SLB,6.000
Somalia,2024,SOM,19.636
South Africa,2024,ZAF,44.703
South Sudan,2024,SSD,32.364
Spain,2024,ESP,44.286
Sri Lanka,2024,LKA,10.000
St. Kitts and Nevis,2024,KNA,31.250
St. Lucia,2024,LCA,11.111
St. Martin (French part),2024,MAF,
St. Vincent and the Grenadines,2024,VCT,21.739
Sudan,2024,SDN,
Suriname,2024,SUR,31.373
Sweden,2024,SWE,46.705
Switzerland,2024,CHE,38.500
Syrian Arab Republic,2024,SYR,9.600
Tajikistan,2024,TJK,26.984
Tanzania,2024,TZA,37.405
Thailand,2024,THA,19.400
Timor-Leste,2024,TLS,35.385
Togo,2024,TGO,18.584
Tonga,2024,TON,7.143
Trinidad and Tobago,2024,TTO,28.571
Tunisia,2024,TUN,15.686
Turkiye,2024,TUR,19.866
Turkmenistan,2024,TKM,25.600
Turks and Caicos Islands,2024,TCA,
Tuvalu,2024,TUV,0.000
Uganda,2024,UGA,33.932
Ukraine,2024,UKR,21.092
United Arab Emirates,2024,ARE,50.000
United Kingdom,2024,GBR,40.462
United States,2024,USA,28.736
Uruguay,2024,URY,28.283
Uzbekistan,2024,UZB,38.000
Vanuatu,2024,VUT,1.961
"Venezuela, RB",2024,VEN,
Vietnam,2024,VNM,30.629
Virgin Islands (U.S.),2024,VIR,
West Bank and Gaza,2024,PSE,
"Yemen, Rep.",2024,YEM,0.000
Zambia,2024,ZMB,14.970
Zimbabwe,2024,ZWE,28.090
