Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
Solomon Islands,2022,SLB,70.409
Somalia,2022,SOM,53.931
South Africa,2022,ZAF,65.454
South Sudan,2022,SSD,57.203
Spain,2022,ESP,83.134
Sri Lanka,2022,LKA,77.300
St. Kitts and Nevis,2022,KNA,70.313
St. Lucia,2022,LCA,72.670
St. Martin (French part),2022,MAF,80.236
St. Vincent and the Grenadines,2022,VCT,71.191
Sudan,2022,SDN,65.695
Suriname,2022,SUR,73.254
Sweden,2022,SWE,83.059
Switzerland,2022,CHE,83.605
Syrian Arab Republic,2022,SYR,72.790
Tajikistan,2022,TJK,71.562
Tanzania,2022,TZA,66.879
Thailand,2022,THA,75.291
Timor-Leste,2022,TLS,67.368
Togo,2022,TGO,62.290
Tonga,2022,TON,72.635
Trinidad and Tobago,2022,TTO,73.331
Tunisia,2022,TUN,76.050
Turkiye,2022,TUR,77.591
Turkmenistan,2022,TKM,69.913
Turks and Caicos Islands,2022,TCA,77.918
Tuvalu,2022,TUV,66.852
Uganda,2022,UGA,67.675
Ukraine,2022,UKR,72.658
United Arab Emirates,2022,ARE,80.487
United Kingdom,2022,GBR,81.011
United States,2022,USA,77.434
Uruguay,2022,URY,76.468
Uzbekistan,2022,UZB,72.147
Vanuatu,2022,VUT,71.302
"Venezuela, RB",2022,VEN,72.566
Vietnam,2022,VNM,74.502
Virgin Islands (U.S.),2022,VIR,80.320
West Bank and Gaza,2022,PSE,76.662
"Yemen, Rep.",2022,YEM,67.952
Zambia,2022,ZMB,65.279
Zimbabwe,2022,ZWE,62.360
