Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
Georgia,2017,GEO,73.435
Germany,2017,DEU,80.993
Ghana,2017,GHA,63.829
Gibraltar,2017,GIB,82.858
Greece,2017,GRC,81.288
Greenland,2017,GRL,71.932
Grenada,2017,GRD,74.977
Guam,2017,GUM,76.463
Guatemala,2017,GTM,71.583
Guinea,2017,GIN,58.715
Guinea-Bissau,2017,GNB,61.148
Guyana,2017,GUY,68.543
Haiti,2017,HTI,63.832
Honduras,2017,HND,71.805
"Hong Kong SAR, China",2017,HKG,84.696
Hungary,2017,HUN,75.817
Iceland,2017,ISL,82.661
India,2017,IND,70.068
Indonesia,2017,IDN,69.953
"Iran, Islamic Rep.",2017,IRN,76.396
Iraq,2017,IRQ,69.788
Ireland,2017,IRL,82.156
Isle of Man,2017,IMN,80.506
Israel,2017,ISR,82.551
Italy,2017,ITA,82.946
Jamaica,2017,JAM,71.879
Japan,2017,JPN,84.100
Jordan,2017,JOR,76.071
Kazakhstan,2017,KAZ,72.996
Kenya,2017,KEN,62.725
Kiribati,2017,KIR,65.787
"Korea, Dem. People's Rep.",2017,PRK,73.034
"Korea, Rep.",2017,KOR,82.627
Kosovo,2017,XKX,77.105
Kuwait,2017,KWT,79.916
Kyrgyz Republic,2017,KGZ,71.200
Lao PDR,2017,LAO,67.345
Latvia,2017,LVA,74.629
Lebanon,2017,LBN,78.192
Lesotho,2017,LSO,53.874
Liberia,2017,LBR,60.777
Libya,2017,LBY,72.721
Liechtenstein,2017,LIE,83.746
Lithuania,2017,LTU,75.480
Luxembourg,2017,LUX,82.095
"Macao SAR, China",2017,MAC,83.527
Madagascar,2017,MDG,63.433
Malawi,2017,MWI,63.914
Malaysia,2017,MYS,75.542
Maldives,2017,MDV,79.228
Mali,2017,MLI,58.562
Malta,2017,MLT,82.346
Marshall Islands,2017,MHL,65.673
Mauritania,2017,MRT,67.088
Mauritius,2017,MUS,74.515
Mexico,2017,MEX,74.261
"Micronesia, Fed. Sts.",2017,FSM,65.761
Moldova,2017,MDA,70.375
Monaco,2017,MCO,85.878
Mongolia,2017,MNG,70.543
Montenegro,2017,MNE,76.685
Morocco,2017,MAR,73.608
Mozambique,2017,MOZ,60.148
Myanmar,2017,MMR,65.909
Namibia,2017,NAM,61.661
Nauru,2017,NRU,61.101
Nepal,2017,NPL,68.740
Netherlands,2017,NLD,81.761
New Caledonia,2017,NCL,77.504
New Zealand,2017,NZL,81.859
Nicaragua,2017,NIC,73.389
Niger,2017,NER,59.524
Nigeria,2017,NGA,52.397
North Macedonia,2017,MKD,75.954
Northern Mariana Islands,2017,MNP,77.470
Norway,2017,NOR,82.610
Oman,2017,OMN,79.748
Pakistan,2017,PAK,66.223
Palau,2017,PLW,69.019
Panama,2017,PAN,77.901
Papua New Guinea,2017,PNG,64.923
Paraguay,2017,PRY,73.450
Peru,2017,PER,75.958
Philippines,2017,PHL,69.966
Poland,2017,POL,77.754
Portugal,2017,PRT,81.424
Puerto Rico,2017,PRI,79.070
Qatar,2017,QAT,82.458
Romania,2017,ROU,75.210
Russian Federation,2017,RUS,72.451
Rwanda,2017,RWA,66.140
Samoa,2017,WSM,70.991
San Marino,2017,SMR,84.933
Sao Tome and Principe,2017,STP,67.074
Saudi Arabia,2017,SAU,78.721
Senegal,2017,SEN,67.059
Serbia,2017,SRB,75.539
Seychelles,2017,SYC,74.300
Sierra Leone,2017,SLE,57.761
Singapore,2017,SGP,83.095
Sint Maarten (Dutch part),2017,SXM,75.455
Slovak Republic,2017,SVK,77.166
Slovenia,2017,SVN,81.029
Solomon Islands,2017,SLB,69.652
Somalia,2017,SOM,52.190
South Africa,2017,ZAF,65.422
South Sudan,2017,SSD,35.351
Spain,2017,ESP,83.283
Sri Lanka,2017,LKA,76.239
St. Kitts and Nevis,2017,KNA,71.284
St. Lucia,2017,LCA,72.522
St. Martin (French part),2017,MAF,78.762
St. Vincent and the Grenadines,2017,VCT,71.013
Sudan,2017,SDN,65.146
Suriname,2017,SUR,71.247
Sweden,2017,SWE,82.410
Switzerland,2017,CHE,83.551
Syrian Arab Republic,2017,SYR,65.651
Tajikistan,2017,TJK,70.524
Tanzania,2017,TZA,64.963
Thailand,2017,THA,76.989
Timor-Leste,2017,TLS,65.898
Togo,2017,TGO,60.135
Tonga,2017,TON,72.066
Trinidad and Tobago,2017,TTO,72.984
Tunisia,2017,TUN,75.177
Turkiye,2017,TUR,77.037
Turkmenistan,2017,TKM,69.190
Turks and Caicos Islands,2017,TCA,77.505
Tuvalu,2017,TUV,65.683
Uganda,2017,UGA,65.174
Ukraine,2017,UKR,73.993
United Arab Emirates,2017,ARE,82.388
United Kingdom,2017,GBR,81.256
United States,2017,USA,78.539
Uruguay,2017,URY,77.618
Uzbekistan,2017,UZB,71.737
Vanuatu,2017,VUT,70.500
"Venezuela, RB",2017,VEN,71.903
Vietnam,2017,VNM,74.026
Virgin Islands (U.S.),2017,VIR,79.368
West Bank and Gaza,2017,PSE,75.216
"Yemen, Rep.",2017,YEM,67.120
Zambia,2017,ZMB,61.564
Zimbabwe,2017,ZWE,60.263
