Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
El Salvador,2013,SLV,71.225
Equatorial Guinea,2013,GNQ,59.784
Eritrea,2013,ERI,65.005
Estonia,2013,EST,77.141
Eswatini,2013,SWZ,52.110
Ethiopia,2013,ETH,62.161
Faroe Islands,2013,FRO,81.341
Fiji,2013,FJI,66.545
Finland,2013,FIN,80.976
France,2013,FRA,82.220
French Polynesia,2013,PYF,81.935
Gabon,2013,GAB,65.751
"Gambia, The",2013,GMB,62.252
Georgia,2013,GEO,73.025
Germany,2013,DEU,80.490
Ghana,2013,GHA,62.397
Gibraltar,2013,GIB,82.586
Greece,2013,GRC,81.285
Greenland,2013,GRL,70.839
Grenada,2013,GRD,75.022
Guam,2013,GUM,76.361
Guatemala,2013,GTM,70.878
Guinea,2013,GIN,57.459
Guinea-Bissau,2013,GNB,58.879
Guyana,2013,GUY,66.710
Haiti,2013,HTI,62.624
Honduras,2013,HND,70.765
"Hong Kong SAR, China",2013,HKG,83.831
Hungary,2013,HUN,75.566
Iceland,2013,ISL,82.061
India,2013,IND,68.499
Indonesia,2013,IDN,69.064
"Iran, Islamic Rep.",2013,IRN,75.349
Iraq,2013,IRQ,69.047
Ireland,2013,IRL,80.949
Isle of Man,2013,IMN,80.120
Israel,2013,ISR,82.056
Italy,2013,ITA,82.690
Jamaica,2013,JAM,72.435
Japan,2013,JPN,83.332
Jordan,2013,JOR,74.282
Kazakhstan,2013,KAZ,70.719
Kenya,2013,KEN,61.729
Kiribati,2013,KIR,65.898
"Korea, Dem. People's Rep.",2013,PRK,71.867
"Korea, Rep.",2013,KOR,81.271
Kosovo,2013,XKX,76.336
Kuwait,2013,KWT,78.742
Kyrgyz Republic,2013,KGZ,70.202
Lao PDR,2013,LAO,65.723
Latvia,2013,LVA,73.983
Lebanon,2013,LBN,78.037
Lesotho,2013,LSO,49.547
Liberia,2013,LBR,59.992
Libya,2013,LBY,72.339
Liechtenstein,2013,LIE,82.261
Lithuania,2013,LTU,73.915
Luxembourg,2013,LUX,81.800
"Macao SAR, China",2013,MAC,82.722
Madagascar,2013,MDG,63.161
Malawi,2013,MWI,60.816
Malaysia,2013,MYS,75.464
Maldives,2013,MDV,77.847
Mali,2013,MLI,57.052
Malta,2013,MLT,81.746
Marshall Islands,2013,MHL,64.954
Mauritania,2013,MRT,65.890
Mauritius,2013,MUS,74.017
Mexico,2013,MEX,74.289
"Micronesia, Fed. Sts.",2013,FSM,65.179
Moldova,2013,MDA,70.291
Monaco,2013,MCO,85.056
Mongolia,2013,MNG,70.098
Montenegro,2013,MNE,76.490
Morocco,2013,MAR,72.117
Mozambique,2013,MOZ,57.189
Myanmar,2013,MMR,64.617
Namibia,2013,NAM,58.468
Nauru,2013,NRU,60.701
Nepal,2013,NPL,67.598
Netherlands,2013,NLD,81.305
New Caledonia,2013,NCL,76.867
New Zealand,2013,NZL,81.405
Nicaragua,2013,NIC,72.551
Niger,2013,NER,58.364
Nigeria,2013,NGA,51.827
North Macedonia,2013,MKD,75.400
Northern Mariana Islands,2013,MNP,77.452
Norway,2013,NOR,81.751
Oman,2013,OMN,78.633
Pakistan,2013,PAK,65.129
Palau,2013,PLW,68.981
Panama,2013,PAN,77.129
Papua New Guinea,2013,PNG,63.927
Paraguay,2013,PRY,73.292
Peru,2013,PER,74.591
Philippines,2013,PHL,69.283
Poland,2013,POL,77.000
Portugal,2013,PRT,80.722
Puerto Rico,2013,PRI,80.318
Qatar,2013,QAT,80.974
Romania,2013,ROU,75.063
Russian Federation,2013,RUS,70.579
Rwanda,2013,RWA,64.651
Samoa,2013,WSM,71.229
San Marino,2013,SMR,84.175
Sao Tome and Principe,2013,STP,64.930
Saudi Arabia,2013,SAU,76.517
Senegal,2013,SEN,65.638
Serbia,2013,SRB,75.185
Seychelles,2013,SYC,73.120
Sierra Leone,2013,SLE,54.051
Singapore,2013,SGP,82.246
Sint Maarten (Dutch part),2013,SXM,75.391
Slovak Republic,2013,SVK,76.412
Slovenia,2013,SVN,80.322
Solomon Islands,2013,SLB,69.007
Somalia,2013,SOM,54.016
South Africa,2013,ZAF,62.388
South Sudan,2013,SSD,58.285
Spain,2013,ESP,83.078
Sri Lanka,2013,LKA,75.546
St. Kitts and Nevis,2013,KNA,71.290
St. Lucia,2013,LCA,72.687
St. Martin (French part),2013,MAF,79.528
St. Vincent and the Grenadines,2013,VCT,70.091
Sudan,2013,SDN,63.443
Suriname,2013,SUR,70.110
Sweden,2013,SWE,81.956
Switzerland,2013,CHE,82.798
Syrian Arab Republic,2013,SYR,65.146
Tajikistan,2013,TJK,69.579
Tanzania,2013,TZA,62.788
Thailand,2013,THA,75.960
Timor-Leste,2013,TLS,64.719
Togo,2013,TGO,58.345
Tonga,2013,TON,71.650
Trinidad and Tobago,2013,TTO,72.785
Tunisia,2013,TUN,74.674
Turkiye,2013,TUR,76.171
Turkmenistan,2013,TKM,68.968
Turks and Caicos Islands,2013,TCA,77.100
Tuvalu,2013,TUV,65.171
Uganda,2013,UGA,62.353
Ukraine,2013,UKR,71.474
United Arab Emirates,2013,ARE,81.950
United Kingdom,2013,GBR,81.005
United States,2013,USA,78.741
Uruguay,2013,URY,76.953
Uzbekistan,2013,UZB,70.692
Vanuatu,2013,VUT,69.986
"Venezuela, RB",2013,VEN,73.076
Vietnam,2013,VNM,73.821
Virgin Islands (U.S.),2013,VIR,78.717
West Bank and Gaza,2013,PSE,74.140
"Yemen, Rep.",2013,YEM,67.961
Zambia,2013,ZMB,59.445
Zimbabwe,2013,ZWE,56.842
