Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
Iraq,2020,IRQ,69.651
Ireland,2020,IRL,82.456
Isle of Man,2020,IMN,80.591
Israel,2020,ISR,82.649
Italy,2020,ITA,82.195
Jamaica,2020,JAM,71.452
Japan,2020,JPN,84.560
Jordan,2020,JOR,75.583
Kazakhstan,2020,KAZ,71.195
Kenya,2020,KEN,61.596
Kiribati,2020,KIR,65.205
"Korea, Dem. People's Rep.",2020,PRK,72.783
"Korea, Rep.",2020,KOR,83.427
Kosovo,2020,XKX,74.212
Kuwait,2020,KWT,78.761
Kyrgyz Republic,2020,KGZ,71.800
Lao PDR,2020,LAO,68.339
Latvia,2020,LVA,75.185
Lebanon,2020,LBN,76.299
Lesotho,2020,LSO,55.133
Liberia,2020,LBR,61.267
Libya,2020,LBY,72.388
Liechtenstein,2020,LIE,81.659
Lithuania,2020,LTU,75.029
Luxembourg,2020,LUX,82.144
"Macao SAR, China",2020,MAC,84.129
Madagascar,2020,MDG,62.706
Malawi,2020,MWI,65.216
Malaysia,2020,MYS,76.057
Maldives,2020,MDV,78.713
Mali,2020,MLI,58.858
Malta,2020,MLT,82.098
Marshall Islands,2020,MHL,65.387
Mauritania,2020,MRT,66.794
Mauritius,2020,MUS,74.177
Mexico,2020,MEX,70.449
"Micronesia, Fed. Sts.",2020,FSM,65.878
Moldova,2020,MDA,69.914
Monaco,2020,MCO,86.089
Mongolia,2020,MNG,71.349
Montenegro,2020,MNE,75.932
Morocco,2020,MAR,73.133
Mozambique,2020,MOZ,61.390
Myanmar,2020,MMR,66.612
Namibia,2020,NAM,64.071
Nauru,2020,NRU,61.527
Nepal,2020,NPL,69.106
Netherlands,2020,NLD,81.359
New Caledonia,2020,NCL,77.049
New Zealand,2020,NZL,82.256
Nicaragua,2020,NIC,70.766
Niger,2020,NER,59.890
Nigeria,2020,NGA,53.072
North Macedonia,2020,MKD,74.395
Northern Mariana Islands,2020,MNP,78.030
Norway,2020,NOR,83.210
Oman,2020,OMN,77.763
Pakistan,2020,PAK,65.701
Palau,2020,PLW,68.689
Panama,2020,PAN,76.330
Papua New Guinea,2020,PNG,65.075
Paraguay,2020,PRY,72.720
Peru,2020,PER,73.832
Philippines,2020,PHL,70.097
Poland,2020,POL,76.400
Portugal,2020,PRT,81.329
Puerto Rico,2020,PRI,80.009
Qatar,2020,QAT,80.409
Romania,2020,ROU,74.254
Russian Federation,2020,RUS,71.339
Rwanda,2020,RWA,66.953
Samoa,2020,WSM,70.727
San Marino,2020,SMR,82.650
Sao Tome and Principe,2020,STP,67.979
Saudi Arabia,2020,SAU,77.596
Senegal,2020,SEN,67.496
Serbia,2020,SRB,74.478
Seychelles,2020,SYC,77.237
Sierra Leone,2020,SLE,59.694
Singapore,2020,SGP,83.544
Sint Maarten (Dutch part),2020,SXM,75.002
Slovak Republic,2020,SVK,76.866
Slovenia,2020,SVN,80.532
Solomon Islands,2020,SLB,69.258
Somalia,2020,SOM,57.095
South Africa,2020,ZAF,65.150
South Sudan,2020,SSD,57.648
Spain,2020,ESP,82.232
Sri Lanka,2020,LKA,76.928
St. Kitts and Nevis,2020,KNA,71.181
St. Lucia,2020,LCA,72.308
St. Martin (French part),2020,MAF,80.085
St. Vincent and the Grenadines,2020,VCT,69.605
Sudan,2020,SDN,65.124
Suriname,2020,SUR,72.321
Sweden,2020,SWE,82.356
Switzerland,2020,CHE,83.000
Syrian Arab Republic,2020,SYR,71.944
Tajikistan,2020,TJK,68.605
Tanzania,2020,TZA,66.771
Thailand,2020,THA,77.331
Timor-Leste,2020,TLS,66.919
Togo,2020,TGO,61.123
Tonga,2020,TON,72.379
Trinidad and Tobago,2020,TTO,72.645
Tunisia,2020,TUN,75.004
Turkiye,2020,TUR,76.525
Turkmenistan,2020,TKM,68.846
Turks and Caicos Islands,2020,TCA,77.499
Tuvalu,2020,TUV,66.357
Uganda,2020,UGA,66.410
Ukraine,2020,UKR,73.283
United Arab Emirates,2020,ARE,81.936
United Kingdom,2020,GBR,80.332
United States,2020,USA,76.980
Uruguay,2020,URY,78.381
Uzbekistan,2020,UZB,71.461
Vanuatu,2020,VUT,70.385
"Venezuela, RB",2020,VEN,72.369
Vietnam,2020,VNM,75.383
Virgin Islands (U.S.),2020,VIR,79.820
West Bank and Gaza,2020,PSE,74.998
"Yemen, Rep.",2020,YEM,66.435
Zambia,2020,ZMB,63.361
Zimbabwe,2020,ZWE,61.530
